,names,films,tv_shows,park_attractions
2051,Chip and Dale,'Saving Mr. Banks','Quack Pack',"""Mickey's Soundsational Parade"""
2052,Chip and Dale,,'Mickey Mouse Works','Celebrate a Dreams Come True Parade'
2053,Chip and Dale,,'House of Mouse','SpectroMagic'
2054,Chip and Dale,,'Mickey Mouse Clubhouse',"""Mickey's Boo-to-You Halloween Parade"""
2055,Chip and Dale,,'Have a Laugh!',"""Mickey's Once Upon a Christmastime Parade"""
2056,Chip and Dale,,'A Poem Is...','A Christmas Fantasy Parade'
2057,Chip and Dale,,'Mickey Mouse (TV series)','Disney Stars and Motorcars Parade'
2058,Chip and Dale,,'Mickey and the Roadster Racers',"""Mickey's Jammin' Jungle Parade"""
2059,Chip and Dale,,'DuckTales (2017 series)',"""Mickey's Jingle Jungle Parade"""
2060,Chip and Dale,,"""Chip 'n' Dale: Park Life""","""Mickey & Duffy's Spring Voyage"""
2061,Chip and Dale,,,'Parade of the Stars'
2062,Chip and Dale,,,'Festival of Fantasy Parade'
2063,Chomp,'102 Dalmatians',,
2064,Chris,,'Big Hero 6: The Series',
2065,Chucho,'Beverly Hills Chihuahua',,
2066,Clarice,,,'Main Street Electrical Parade'
2067,Clarice,,,'Fantasmic!'
2068,Clarice,,,'Tokyo DisneySea'
2069,Clarice,,,"""Mickey & Duffy's Spring Voyage"""
2070,Clarice,,,'Nightfall Glow'
2071,Clarice,,,'Fashionable Easter'
2072,Santa Claus,,,
2073,Coach Spitz,,"""Raven's Home""",
2074,Mr. Collinsworth,,'Jessie (TV series)',
2075,Commander John Evenrude,,,"""A Pirate's Adventure: Treasures of the Seven Seas"""
2076,Community Sue,,'Big City Greens',
2077,Queen Constantina,"""Rodgers & Hammerstein's Cinderella""",,
2078,Mary Contrary,'Babes in Toyland',,
2079,Peter Cook,,,
2080,Ben Cooper,'Alexander and the Terrible,,
2081,Ben Cooper,Horrible,,
2082,Ben Cooper,No Good,,
2083,Ben Cooper,Very Bad Day',,
2084,Emily Cooper,'Alexander and the Terrible,,
2085,Emily Cooper,Horrible,,
2086,Emily Cooper,No Good,,
2087,Emily Cooper,Very Bad Day',,
2088,Zeke,,'Mickey Mouse Works',
2089,Cowardly Lion,'Return to Oz','Once Upon a Time',
2090,Cowardly Lion,'Oz the Great and Powerful',,
2091,Colin Cowling,'Planes',,
2092,Bob Cratchit,'A Christmas Carol',,
2093,Crazy Edie,,'TaleSpin',
2094,Crystal,,'Kim Possible',
2095,Cyrus,,'Once Upon a Time in Wonderland',
2096,Caterpillar,'Alice in Wonderland','House of Mouse','Alice in Wonderland (Disneyland attraction)'
2097,Caterpillar,,'Once Upon a Time',"""Alice's Curious Labyrinth"""
2098,Caterpillar,,'Once Upon a Time in Wonderland',"""Walt Disney's Parade of Dreams"""
2099,Caterpillar,,,'Main Street Electrical Parade'
2100,Catherine the Greater,'Dumbo (2019 film)',,
2101,Mr. Centipede,'James and the Giant Peach',,
2102,Cerberus,'Hercules (film)','Hercules (TV series)',
2103,Cerberus,,'Once Upon a Time',
2104,Chancellor Trample,,'TaleSpin',
2105,Chandeleria,"""Beauty and the Beast: Belle's Magical World""",,
2106,Chatana,,'Elena of Avalor',
2107,Bob Chen,,'Kim Possible',
2108,Cherubs,'Fantasia',,
2109,Cherubs,'Who Framed Roger Rabbit',,
2110,Chinese Chef,'Peter Pan',,
2111,Chinese Chef,'The Reluctant Dragon',,
2112,Cinderella,'Into the Woods',,
2113,Cinderella's Mother,'Into the Woods',,
2114,Clayton,'Tarzan (film)','The Legend of Tarzan',
2115,Clayton,'Once Upon a Halloween',,
2116,Clyde & Claude,,,"""Walt Disney's Enchanted Tiki Room"""
2117,Magnolia Dusty Clydesdale,'The Apple Dumpling Gang',,
2118,Coach Jenkins,'Descendants',,
2119,Cody,'The Rescuers Down Under',,'World of Color'
2120,The Colander Combo,,,'Kitchen Kabaret'
2121,Coltrane,,'Phineas and Ferb',
2122,Cookie Carnival Judges,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'House of Mouse',
2123,Alexander Cooper,'Alexander and the Terrible,,
2124,Alexander Cooper,Horrible,,
2125,Alexander Cooper,No Good,,
2126,Alexander Cooper,Very Bad Day',,
2127,Cornica,,'Jake and the Never Land Pirates',
2128,Cri-Kee,'Mulan','House of Mouse',
2129,Cri-Kee,'Mulan II',"""It's a Small World: The Animated Series""",
2130,Cri-Kee,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",,
2131,Cri-Kee,'Mulan (2020 film)',,
2132,Duke Cristóbal,,'Elena of Avalor',
2133,Dr. Emile Crocker,,'Quack Pack',
2134,Nerissa Crossnic,,'W.I.T.C.H. (TV series)',
2135,Professor Crumbs,,'Wizards of Waverly Place',
2136,Cruz,,'Elena of Avalor',
2137,Rebecca Cunningham,,'TaleSpin',
2138,Cy-Bugs,'Wreck-It Ralph (film)',,
2139,Cy-Bugs,'Big Hero 6',,
2140,Cy-Bugs,'Ralph Breaks the Internet',,
2141,D'Artagnan,'The Three Musketeers','Once Upon a Time',
2142,Special Agent Carter and Special Agent David Trygstad,'G-Force',,
2143,Cat,,,
2144,Cauldron Born,'The Black Cauldron','House of Mouse','Cinderella Castle Mystery Tour'
2145,Cauldron Born,'Once Upon a Halloween',,
2146,The Cereal Sisters,,,'Kitchen Kabaret'
2147,Chad,,"""Gamer's Guide to Pretty Much Everything""",
2148,Chick and Stu,,'Bonkers',
2149,Chicken Little,'Who Framed Roger Rabbit',,
2150,Chief O'Hara,"""Mickey's House of Villains""",'DuckTales',
2151,Chief O'Hara,,'Mickey Mouse Works',
2152,Chief O'Hara,,'House of Mouse',
2153,Chief Tui,'Moana (film)',,
2154,Claire Clancy,,'Fancy Nancy',
2155,Clarice,'Beauty and the Beast (1991 film)',,
2156,Claw,,'Gargoyles',
2157,Clinton Coot,,'Legend of the Three Caballeros',
2158,Clinton Coot,,'DuckTales (2017 series)',
2159,Cloudy,'Leroy & Stitch','Lilo & Stitch: The Series',
2160,Clovis,,'Darkwing Duck',
2161,Cobra,,'Timon & Pumbaa',
2162,Cobweb,,,
2163,Colonel,'One Hundred and One Dalmatians',"""Chip 'n Dale Rescue Rangers""",
2164,Colonel,'101 Dalmatians (1996 film)','101 Dalmatians: The Series',
2165,Colonel,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'House of Mouse',
2166,Chad Cooper,,'Sonny with a Chance',
2167,Chad Cooper,,'So Random!',
2168,Hank Cooper,'The Love Bug (1997 film)',,
2169,Susie,,'House of Mouse',
2170,Professor Crackpotkin,,'TaleSpin',
2171,Cranky,,"""Where's My Water?: Swampy's Underground Adventures""",
2172,Jiminy Cricket,'Pinocchio (film)','Walt Disney anthology series',"""Pinocchio's Daring Journey"""
2173,Jiminy Cricket,'Fun and Fancy Free','The Mickey Mouse Club','Fantasmic!'
2174,Jiminy Cricket,'Who Framed Roger Rabbit','Bonkers','Wishes: A Magical Gathering of Disney Dreams'
2175,Jiminy Cricket,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",'House of Mouse',"""Walt Disney's Parade of Dreams"""
2176,Jiminy Cricket,"""Jiminy Cricket's Christmas""",'A Poem Is...','SpectroMagic'
2177,Jiminy Cricket,"""Teacher's Pet (film)""",'Once Upon a Time','A Christmas Fantasy Parade'
2178,Jiminy Cricket,,,'Festival of Fantasy Parade'
2179,Jiminy Cricket,,,"""Mickey's Once Upon a Christmastime Parade"""
2180,Jiminy Cricket,,,'Jubilation!'
2181,Jiminy Cricket,,,'Mickey and the Magical Map'
2182,Jiminy Cricket,,,'Celebrate A Dreams Come True Parade'
2183,The Croc,,'Jungle Cubs',
2184,Agatha Cromwell,'Halloweentown (film)',,
2185,Agatha Cromwell,"""Halloweentown II: Kalabar's Revenge""",,
2186,Agatha Cromwell,'Halloweentown High',,
2187,Agatha Cromwell,'Return to Halloweentown',,
2188,Crows,,'The New Adventures of Winnie the Pooh',
2189,Crud,,'The New Adventures of Winnie the Pooh',
2190,Cuckoo La-La,,'Mickey and the Roadster Racers',
2191,Cyber,,'Stitch!',
2192,Cyrus,,'Tron: Uprising',
2193,Da Vinci,,'101 Dalmatian Street',
2194,Carver Descartes,,'The Weekenders',
2195,Cashbots,,,
2196,Chainsaw,,'Goof Troop',
2197,Charlotte,'Beverly Hills Chihuahua 3: Viva la Fiesta',,
2198,Charon,'Hercules (film)','Hercules (TV series)','World of Color'
2199,Charon,,'Once Upon a Time',
2200,Charon,,'Legend of the Three Caballeros',
2201,Chef Bouche,'Beauty and the Beast (1991 film)',,'Enchanted Tale of Beauty and the Beast'
2202,Chef Bouche,"""Beauty and the Beast: Belle's Magical World""",,
2203,Chef Bouche,'Beauty and the Beast (2017 film)',,
2204,Chief Zephyr,,'Elena of Avalor',
2205,Mr. Chomp,,'Doc McStuffins',
2206,"Chris ""Q"" Todd",,,
2207,Cindy,,'Lloyd in Space',
2208,Cidny,,"""That's So Raven""",
2209,Circus Animals,'Dumbo (1941 film)',,
2210,Circus Animals,'Dumbo (2019 film)',,
2211,Clanker,"""Pirates of the Caribbean: Dead Man's Chest""",,
2212,Clanker,"""Pirates of the Caribbean: At World's End""",,
2213,Clayton's Men,'Tarzan (film)',,
2214,Princess Clio,'Sofia the First: Once Upon a Princess','Sofia the First',
2215,Clip,'Leroy & Stitch','Lilo & Stitch: The Series',"""Stitch's Great Escape!"""
2216,Clip,,'Stitch!',
2217,CLU 2.0,'Tron: Legacy','Tron: Uprising',
2218,Coco the Coconutty Monkey,,'Mickey Mouse Clubhouse',
2219,Coffin Occupant,'The Haunted Mansion (film)',,'The Haunted Mansion'
2220,Michael Collins,'The Proud Family Movie','The Proud Family',
2221,Colonel Rolf Rolfe,,,
2222,Colonel's Thugs,,'Quack Pack',
2223,Principal Compton,'The Santa Clause',,
2224,Mr. Condor,,'Sonny with a Chance',
2225,Coop,,'Yin Yang Yo!',
2226,Mr. Corelli,,'Hannah Montana',
2227,Mr. Corelli,,'The Suite Life on Deck',
2228,Student Council,,'Fish Hooks',
2229,Count Down,,'Timon & Pumbaa',
2230,Crash,"""Pirates of the Caribbean: Dead Man's Chest""",,
2231,Crash,"""Pirates of the Caribbean: At World's End""",,
2232,Danny Crowe,,,
2233,Curly Q,,'Doc McStuffins',
2234,Cecilia,,'Jake and the Never Land Pirates',
2235,Chef Remy Bones,,'Vampirina',
2236,Chen Honghui,'Mulan (2020 film)',,
2237,Chief Quimby,'Inspector Gadget (1999 film)',,
2238,Chief Quimby,'Inspector Gadget 2',,
2239,Chuluun ,,'The Lion Guard',
2240,Chuuby,,,"""Mickey and Minnie's Runaway Railway"""
2241,Cisco Pig,,'Timon & Pumbaa',
2242,Cisco Pig's Gang,,'Timon & Pumbaa',
2243,Claire and Vince,'Tangled',,
2244,Mrs. Claus,'The Nightmare Before Christmas','Mickey Mouse Clubhouse',
2245,Mrs. Claus,'One Magic Christmas','Prep & Landing: Naughty vs. Nice',
2246,Mrs. Claus,'The Ultimate Christmas Present','Future-Worm!',
2247,Mrs. Claus,'The Search for Santa Paws','Puppy Dog Pals',
2248,Mrs. Claus,'Noelle',,
2249,Clementine Clevenger,,'TaleSpin',
2250,Clink,'Leroy & Stitch','Lilo & Stitch: The Series',
2251,Dipper Clones,,'Gravity Falls',
2252,Conrad Cockatoo,,"""Chip 'n Dale Rescue Rangers""",
2253,Cogs,,'DuckTales (2017 series)',
2254,Harry Coleman,'Freaky Friday (2003 film)',,
2255,The Colonel,,'Quack Pack',
2256,Colonel Critchlow Sunchbench,,,'Adventurers Club'
2257,Colonel Critchlow Sunchbench,,,"""Trader Sam's"""
2258,Construction Supervisor,'Up',,
2259,Charlie Conway,'The Mighty Ducks',,
2260,Charlie Conway,'D2: The Mighty Ducks',,
2261,Charlie Conway,'D3: The Mighty Ducks',,
2262,Trevor Cooper,'Alexander and the Terrible,,
2263,Trevor Cooper,Horrible,,
2264,Trevor Cooper,No Good,,
2265,Trevor Cooper,Very Bad Day',,
2266,Cotton's Parrot,'Pirates of the Caribbean: The Curse of the Black Pearl',,'Pirates of the Caribbean (attraction)'
2267,Cotton's Parrot,"""Pirates of the Caribbean: Dead Man's Chest""",,
2268,Cotton's Parrot,"""Pirates of the Caribbean: At World's End""",,
2269,Cotton's Parrot,'Pirates of the Caribbean: On Stranger Tides',,
2270,Courtney,,'American Dragon: Jake Long',
2271,Crandall's mom,,'Teamo Supremo',
2272,Ichabod Crane,'The Adventures of Ichabod and Mr. Toad','Walt Disney anthology series','Frightfully Fun Parade'
2273,Ichabod Crane,,'House of Mouse',
2274,Emily Cratchit,'A Christmas Carol',,
2275,Madame Credenza,,'Timon & Pumbaa',
2276,Crom,'Tron',,
2277,Cuddles,,'101 Dalmatian Street',
2278,Ninja of 2005,,'Randy Cunningham: 9th Grade Ninja',
2279,Cassie,,'Star Darlings',
2280,Princess Caterina,,'Elena of Avalor',
2281,Cave of Wonders,'Aladdin (film)','House of Mouse','Fantasmic'
2282,Cave of Wonders,"""Mickey's House of Villains""",'Once Upon a Time','World of Color'
2283,Cave of Wonders,'Aladdin (2019 film)',,'Storybook Land Canal Boats'
2284,Cave of Wonders,,,'DisneyQuest'
2285,Cave of Wonders,,,'Sorcerers of the Magic Kingdom'
2286,Cave of Wonders,,,'Hyperion Theater'
2287,Cave of Wonders,,,'Once Upon a Time (Tokyo Disneyland)'
2288,Chain Gang Chuck,,'American Dragon: Jake Long',
2289,Chairmouse,'The Rescuers',,
2290,Chairmouse,'The Rescuers Down Under',,
2291,Chance,'Homeward Bound: The Incredible Journey',,
2292,Chance,'Homeward Bound II: Lost in San Francisco',,
2293,Charica,,'Elena of Avalor',
2294,Farmer Charlie Cooney,'The Cat from Outer Space',,
2295,Chernabog's Minions,'Fantasia','House of Mouse','Cinderella Castle Mystery Tour'
2296,Chernabog's Minions,'The Black Cauldron','Mickey Mouse (TV series)','Fantasmic!'
2297,Cheryl and Meryl,,'Brandy & Mr. Whiskers',
2298,Cheshire Cat,'Alice in Wonderland (1951 film)','Adventures in Wonderland','Alice in Wonderland (Disneyland attraction)'
2299,Cheshire Cat,'Who Framed Roger Rabbit','House of Mouse','Fantasmic!'
2300,Cheshire Cat,'Flubber','Once Upon a Time in Wonderland','World of Color'
2301,Cheshire Cat,"""Mickey's Magical Christmas: Snowed in at the House of Mouse""",,"""Alice's Curious Labyrinth"""
2302,Cheshire Cat,"""Mickey's House of Villains""",,'Celebrate the Magic'
2303,Cheshire Cat,,,'Main Street Electrical Parade'
2304,Cheshire Cat,,,'SpectroMagic'
2305,Chessur,'Alice in Wonderland (2010 film)',,'Alice in Wonderland Maze'
2306,Chessur,'Alice Through the Looking Glass',,
2307,Keewazi,,'The Legend of Tarzan',
2308,Hans Christian Andersen,,'The Little Mermaid (TV series)',
2309,Shaniqua Chulavista,,'American Dragon: Jake Long',
2310,Cinderella's Father,'Cinderella (1950 film)','Once Upon a Time',
2311,Cinderella's Father,'Cinderella (2015 film)','Sir Francis Tremaine',
2312,Cinderella's Stepmother,"""Rodgers & Hammerstein's Cinderella""",,
2313,CJ Hook,,'Descendants: Wicked World',
2314,Queen Clarion,'Tinker Bell (film)',,
2315,Queen Clarion,'Tinker Bell and the Lost Treasure',,
2316,Queen Clarion,'Secret of the Wings',,
2317,Queen Clarion,'The Pirate Fairy',,
2318,Queen Clarion,'Tinker Bell and the Legend of the NeverBeast',,
2319,Cobby Hugglemonster,,'Henry Hugglemonster',
2320,Barista,,,
2321,Dean Collins,,'W.I.T.C.H. (TV series)',
2322,Kelly Cooper,'Alexander and the Terrible,,
2323,Kelly Cooper,Horrible,,
2324,Kelly Cooper,No Good,,
2325,Kelly Cooper,Very Bad Day',,
2326,Coral,,,
2327,Mr. Cotton,'Pirates of the Caribbean: The Curse of the Black Pearl',,
2328,Mr. Cotton,"""Pirates of the Caribbean: Dead Man's Chest""",,
2329,Mr. Cotton,"""Pirates of the Caribbean: At World's End""",,
2330,Count Barnstorm,,'Sofia the First',
2331,Major Courage,,'DuckTales',
2332,Cow,,'Goldie & Bear',
2333,Clarabelle Cow,'Who Framed Roger Rabbit','Walt Disney anthology series','Disneyland'
2334,Clarabelle Cow,"""Mickey's Once Upon a Christmas""",'The Mickey Mouse Club',"""Mickey's Most Merriest Celebration"""
2335,Clarabelle Cow,'Mickey,'Bonkers','Move It! Shake It! MousekeDance It! Street Party'
2336,Clarabelle Cow,Donald,'Mickey Mouse Works',"""Mickey's Boo-to-You Halloween Parade"""
2337,Clarabelle Cow,Goofy: The Three Musketeers','House of Mouse',"""Mickey's Once Upon a Christmastime Parade"""
2338,Clarabelle Cow,'Ralph Breaks the Internet','Mickey Mouse Clubhouse','A Christmas Fantasy Parade'
2339,Clarabelle Cow,,'Have a Laugh!','Silly Symphony Swings'
2340,Clarabelle Cow,,'Mickey Mousekersize','Fantasmic!'
2341,Clarabelle Cow,,"""Minnie's Bow-Toons""",'Light Magic'
2342,Clarabelle Cow,,'A Poem Is...','The World According to Goofy'
2343,Clarabelle Cow,,'Mickey Mouse (TV series)','Parade of the Stars'
2344,Clarabelle Cow,,'Mickey and the Roadster Racers','Happiness is Here Parade'
2345,Clarabelle Cow,,'Mickey Go Local',"""Mickey and Minnie's Runaway Railway"""
2346,Clarabelle Cow,,'The Wonderful World of Mickey Mouse',
2347,Crispy,,'Sofia the First',
2348,Cupcake,,'Puppy Dog Pals',
